Epoch,Train-RMSE,Validate-RMSE
1,2160.8549,2103.6736
2,2053.6580,2092.8874
3,2045.6054,2084.8766
4,2047.1716,2076.7413
5,2031.7968,2068.5334
6,2020.5718,2060.4288
7,2022.0978,2052.3664
8,2008.8613,2044.2474
9,1998.7881,2036.1515
10,1989.8573,2028.0616
11,1978.4384,2020.0402
12,1974.5991,2012.0564
13,1968.1489,2004.1372
14,1963.2293,1996.1884
15,1953.7185,1988.2894
16,1944.4989,1980.3407
17,1931.9054,1972.5056
18,1939.1351,1964.7287
19,1928.2565,1956.8704
20,1908.0797,1949.0578
21,1901.6673,1941.3450
22,1899.3495,1933.6550
23,1888.0216,1926.0521
24,1887.1381,1918.3543
25,1879.2295,1910.6813
26,1869.1298,1903.0525
27,1861.5225,1895.4924
28,1848.3241,1887.9240
29,1841.9131,1880.4283
30,1838.8645,1872.9343
31,1823.8810,1865.4408
32,1820.1872,1858.0086
33,1826.7983,1850.6469
34,1807.2215,1843.1998
35,1803.0113,1835.9094
36,1793.0453,1828.4708
37,1785.9953,1821.1431
38,1777.3681,1813.8584
39,1764.4655,1806.5304
40,1757.1719,1799.3399
41,1757.0744,1792.1576
42,1754.9317,1784.9626
43,1748.7769,1777.7437
44,1730.4765,1770.5688
45,1725.5511,1763.4201
46,1716.3949,1756.2527
47,1713.7209,1749.2751
48,1708.0302,1742.1763
49,1706.0897,1735.1699
50,1693.3325,1728.1604
51,1685.1674,1721.1263
52,1694.1680,1714.2378
53,1683.4462,1707.3108
54,1661.9101,1700.2232
55,1663.4498,1693.4198
56,1648.4569,1686.5516
57,1647.1290,1679.6661
58,1647.2663,1672.8380
59,1630.7907,1666.0590
60,1617.4796,1659.2026
61,1618.8873,1652.5209
62,1615.1805,1645.8653
63,1596.6703,1639.1273
64,1606.4045,1632.4634
65,1599.0336,1625.8129
66,1578.8698,1619.1903
67,1578.4059,1612.5615
68,1571.6296,1606.0584
69,1568.2695,1599.4628
70,1556.5210,1592.9054
71,1556.7071,1586.4660
72,1542.3196,1579.9119
73,1535.2117,1573.5022
74,1526.4724,1567.0646
75,1528.5748,1560.7365
76,1514.7461,1554.2681
77,1507.4780,1547.9405
78,1503.8519,1541.6802
